timestamp,protocol,src_ip,dst_ip,src_port,dst_port,length
2025-04-24 15:09:36.259445,UDP,172.20.6.14,149.248.20.104,3074,44998,187
2025-04-24 15:09:36.271058,UDP,149.248.20.104,172.20.6.14,44998,3074,763
2025-04-24 15:09:36.286021,UDP,149.248.20.104,172.20.6.14,44998,3074,471
2025-04-24 15:09:36.293282,UDP,172.20.6.14,149.248.20.104,3074,44998,183
2025-04-24 15:09:36.303480,UDP,149.248.20.104,172.20.6.14,44998,3074,600
2025-04-24 15:09:36.318585,UDP,149.248.20.104,172.20.6.14,44998,3074,356
2025-04-24 15:09:36.326447,UDP,172.20.6.14,149.248.20.104,3074,44998,179
2025-04-24 15:09:36.333649,UDP,149.248.20.104,172.20.6.14,44998,3074,601
2025-04-24 15:09:36.351811,UDP,149.248.20.104,172.20.6.14,44998,3074,524
2025-04-24 15:09:36.359830,UDP,172.20.6.14,149.248.20.104,3074,44998,183
2025-04-24 15:09:36.367077,UDP,149.248.20.104,172.20.6.14,44998,3074,615
2025-04-24 15:09:36.382867,UDP,149.248.20.104,172.20.6.14,44998,3074,529
2025-04-24 15:09:36.392862,UDP,172.20.6.14,149.248.20.104,3074,44998,183
2025-04-24 15:09:36.397894,UDP,149.248.20.104,172.20.6.14,44998,3074,715
2025-04-24 15:09:36.415269,UDP,149.248.20.104,172.20.6.14,44998,3074,837
2025-04-24 15:09:36.426550,UDP,172.20.6.14,149.248.20.104,3074,44998,183
2025-04-24 15:09:36.431557,UDP,149.248.20.104,172.20.6.14,44998,3074,1020
2025-04-24 15:09:36.447658,UDP,149.248.20.104,172.20.6.14,44998,3074,954
2025-04-24 15:09:36.479221,UDP,149.248.20.104,172.20.6.14,44998,3074,712
2025-04-24 15:09:36.495126,UDP,149.248.20.104,172.20.6.14,44998,3074,1082
2025-04-24 15:09:36.510267,UDP,149.248.20.104,172.20.6.14,44998,3074,731
2025-04-24 15:09:36.527197,UDP,149.248.20.104,172.20.6.14,44998,3074,1135
2025-04-24 15:09:36.544282,UDP,149.248.20.104,172.20.6.14,44998,3074,679
2025-04-24 15:09:36.558197,UDP,149.248.20.104,172.20.6.14,44998,3074,1140
2025-04-24 15:09:36.561112,UDP,172.20.6.14,149.248.20.104,3074,44998,209
2025-04-24 15:09:36.575845,UDP,149.248.20.104,172.20.6.14,44998,3074,678
