timestamp,protocol,src_ip,dst_ip,src_port,dst_port,length
2025-03-17 20:30:26.625892,TCP,172.20.1.181,17.248.192.10,59123,443,66
2025-03-17 20:30:26.625898,HTTPS,172.20.1.181,17.248.192.10,59123,443,583
2025-03-17 20:30:26.636355,TCP,17.248.192.10,172.20.1.181,443,59123,66
2025-03-17 20:30:26.636359,HTTPS,17.248.192.10,172.20.1.181,443,59123,1514
2025-03-17 20:30:26.636363,TCP,17.248.192.10,172.20.1.181,443,59123,1514
2025-03-17 20:30:26.637077,TCP,172.20.1.181,17.248.192.10,59123,443,66
2025-03-17 20:30:26.647797,HTTPS,17.248.192.10,172.20.1.181,443,59123,686
2025-03-17 20:30:26.648601,TCP,172.20.1.181,17.248.192.10,59123,443,66
2025-03-17 20:30:26.664733,HTTPS,172.20.1.181,17.248.192.10,59123,443,146
2025-03-17 20:30:26.672333,HTTPS,172.20.1.181,17.248.192.10,59123,443,1514
2025-03-17 20:30:26.672392,HTTPS,172.20.1.181,17.248.192.10,59123,443,572
2025-03-17 20:30:26.675582,HTTPS,17.248.192.10,172.20.1.181,443,59123,369
2025-03-17 20:30:26.675586,HTTPS,17.248.192.10,172.20.1.181,443,59123,369
2025-03-17 20:30:26.675950,HTTPS,172.20.1.181,17.248.192.10,59123,443,1008
2025-03-17 20:30:26.683126,TCP,17.248.192.10,172.20.1.181,443,59123,66
2025-03-17 20:30:26.683236,TCP,172.20.1.181,17.248.192.10,59123,443,1514
2025-03-17 20:30:26.692720,TCP,17.248.192.10,172.20.1.181,443,59123,66
2025-03-17 20:30:26.692842,TCP,172.20.1.181,17.248.192.10,59123,443,1514
2025-03-17 20:30:26.692846,TCP,172.20.1.181,17.248.192.10,59123,443,1514
2025-03-17 20:30:26.702404,TCP,17.248.192.10,172.20.1.181,443,59123,66
2025-03-17 20:30:26.702479,TCP,172.20.1.181,17.248.192.10,59123,443,1514
2025-03-17 20:30:26.702482,TCP,172.20.1.181,17.248.192.10,59123,443,1514
2025-03-17 20:30:26.711996,TCP,17.248.192.10,172.20.1.181,443,59123,66
2025-03-17 20:30:26.712069,TCP,172.20.1.181,17.248.192.10,59123,443,1514
2025-03-17 20:30:26.712072,TCP,172.20.1.181,17.248.192.10,59123,443,1514
2025-03-17 20:30:26.722765,TCP,17.248.192.10,172.20.1.181,443,59123,66
2025-03-17 20:30:26.722835,TCP,172.20.1.181,17.248.192.10,59123,443,1514
2025-03-17 20:30:26.722838,TCP,172.20.1.181,17.248.192.10,59123,443,1514
2025-03-17 20:30:26.722840,TCP,172.20.1.181,17.248.192.10,59123,443,1514
2025-03-17 20:30:26.732452,TCP,17.248.192.10,172.20.1.181,443,59123,66
